id;anos_experiencia;nombre;apellido_paterno;apellido_materno;fecha_nacimiento;edad;email_principal;email_adicional;email_asignacion;email_kode;web;telefono_casa;telefono_trabajo;telefono_celular;telefono_adicional;coor_lat;coor_long;dir_codigo_postal;dir_calle;no_ext;no_int;salario_neto;costo_total;contato_duracion_minima;disponibilidad_entrevista_fecha;disponibilidad_entrevista_periodo;disponibilidad_asignacion_fecha;disponibilidad_asignacion_periodo;antecedente_ultimo_empleador;antecedente_salario_neto;notas;porcentaje_ingles;curp;rfc;nss;sexo;estado_civil;fecha_alta;fecha_ultimo_seguimiento;foto
1;37454;Directives application Home Loan Account;Dam;Practical Fresh Pants;2019-07-02;14286;deposit Tasty Metal Bacon Implementation;Chips;Money Market Account;Albania web-readiness;Namibia;Steel zero administr;Multi-channelled Lic;grey Cambridgeshire;Canyon HDD;68030;17052;Small;envisioneer Music Public-key;infomediaries;Investment Account;83319;3438;17336;2019-07-01;39106;2019-07-02;invoice;convergence;20794;Georgia Industrial;84228;Views e-enable Communications;National Awesome sky blue;Tactics;FEMENINO;CASADO;2019-07-02T12:15:14;2019-07-02T15:29:45;back-end
2;7455;Administrator;reinvent 24 hour Jewelery;monitor;2019-07-02;79017;Checking Account Identity deposit;IB Investment Account archive;envisioneer;moratorium pixel withdrawal;Mississippi embrace Developer;synthesize Idaho com;Sleek Metal Table Sm;Intelligent Outdoors;Harbor Montana;69551;90756;Phase;Saint Lucia white;Generic neutral Salad;Auto Loan Account modular Refined;45653;80367;21844;2019-07-02;41650;2019-07-01;Ghana back-end National;Direct;27213;withdrawal;52;cutting-edge ability Hat;supply-chains magenta;encompassing;FEMENINO;CASADO;2019-07-02T05:29:01;2019-07-02T02:00:20;robust Engineer
3;96244;Quality-focused;card Plastic;Computers Personal Loan Account Berkshire;2019-07-02;3305;ubiquitous;Public-key Granite;Way Dominican Republic;Bulgarian Lev navigate;Re-contextualized;web-enabled invoice ;bypassing optical;installation;Argentine Peso;85835;59089;Alger;firewall;Future-proofed deposit Sausages;disintermediate Cambridgeshire hacking;67569;34106;73521;2019-07-02;20907;2019-07-01;SMS Enhanced;Bacon Designer;51663;content-based Executive;96541;Virginia THX pink;cross-media;programming SCSI drive;MASCULINO;SOLTERO;2019-07-01T20:18:54;2019-07-02T02:57:14;Home Gloves Latvia
4;69189;invoice Devolved;Computers Bedfordshire Fish;payment calculating;2019-07-02;30806;Benin Berkshire;dedicated Persevering;Coordinator Cambridgeshire Investor;cross-platform Borders;Libyan Dinar CSS;sensor;Alaska;deposit Chips Applic;uniform PCI back up;95307;92831;archi;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;39469;93615;84421;2019-07-02;93001;2019-07-02;Intelligent;Zambian Kwacha intuitive;25416;system-worthy portal;84866;Metal array France;redundant;Synergistic Personal Loan Account Sleek;MASCULINO;SOLTERO;2019-07-02T18:12:54;2019-07-02T09:51:50;Practical North Dakota
5;3594;Dale;Specialist generating;Computers Small Fresh Gloves back-end;2019-07-02;32665;synthesizing composite;Investment Account Refined Intelligent Granite Shirt;Philippine Peso Metal;Strategist;card Licensed Cotton Ball;mindshare Gorgeous;Chips;navigating;Som Rustic Frozen Ke;23978;54922;micro;Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;15864;75784;12016;2019-07-02;34187;2019-07-02;Ergonomic Steel Gloves;Developer Shoes Music;76336;online e-business;46467;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Border;Norfolk Island Chilean Peso Unidades de fomento Ch;FEMENINO;SOLTERO;2019-07-02T15:47:38;2019-07-02T07:52:48;Somalia Web revolutionize
6;96119;Dynamic black;yellow;Books Generic;2019-07-02;33655;withdrawal;quantifying Garden;directional Avon Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;quantify multi-byte;interface Cotton Rob;user-centric Infrast;Managed Dobra applic;23823;10312;Globa;monetize superstructure Fantastic;Industrial;bypassing granular Usability;67676;95060;48252;2019-07-02;49302;2019-07-02;Common;Money Market Account;55370;ivory Data neural;11346;Optimization;Tasty Rubber Car mindshare EXE;bandwidth Liaison;FEMENINO;CASADO;2019-07-02T13:32:10;2019-07-02T17:07:54;programming panel
7;8134;Intelligent Planner;PCI SAS;Interactions;2019-07-01;59188;dynamic bandwidth Buckinghamshire;Oklahoma communities;array supply-chains Advanced;Parkway Handmade Wooden Cheese;quantifying;synthesize Idaho Mar;Glen Refined;Mandatory Assistant;Strategist;55600;4315;Lead;Principal Senior;Paraguay;Sleek Tuna magenta;29449;45454;99583;2019-07-02;69692;2019-07-02;Legacy Unbranded Plastic Chips;Unbranded Cotton Table Generic B2B;16967;withdrawal;38826;Persevering analyzing;Engineer Architect;Beauty dynamic schemas;MASCULINO;CASADO;2019-07-02T04:55:48;2019-07-02T04:09:22;markets Accountability EXE
8;4521;Grocery;transmit Ways;Shirt Credit Card Account disintermediate;2019-07-01;82916;Tennessee Practical Steel Shirt Plastic;Ergonomic Fresh Chicken;Zimbabwe parse Customer;input Accounts;enhance Multi-channelled purple;Response;white SMTP;Checking Account glo;Borders Springs conn;30777;85218;Vietn;Connecticut Burg;transmit Credit Card Account;digital Corporate Checking Account;98046;35058;60808;2019-07-02;63664;2019-07-02;partnerships International;Luxembourg Spurs;91047;middleware Switzerland;69764;back-end Via indexing;Business-focused Canyon Orchestrator;frictionless orchid;MASCULINO;CASADO;2019-07-02T04:50:37;2019-07-02T15:13:56;Metal deposit
9;18188;best-of-breed Human Mission;Officer Savings Account Automated;Pants even-keeled Chair;2019-07-02;54871;Kiribati;cyan innovative;open architecture alliance;online;Bulgarian Lev Cambridgeshire;Regional;Home;primary quantify Chi;Guyana;92404;48452;Auto ;Kiribati monitor;Games;Metal;68716;89520;84444;2019-07-02;74961;2019-07-02;Refined;back-end enhance;10486;interface;18228;Kentucky;blue internet solution Concrete;distributed Ranch impactful;FEMENINO;CASADO;2019-07-02T04:48:04;2019-07-02T08:31:05;Cotton encompassing
10;36308;payment Illinois dot-com;methodology Integration Music;Pants;2019-07-02;48780;hacking;scalable;Unbranded Fresh Car;Andorra;Rand Namibia Dollar Executive;incubate Agent TCP;Engineer Bedfordshir;Assurance Nebraska M;synthesizing;20507;18704;orche;Bouvet Island (Bouvetoya);Auto Loan Account asymmetric Montana;Applications;32064;53258;59388;2019-07-02;36923;2019-07-02;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;8786;Metal;271;Rubber Mall Investment Account;scalable Configuration calculating;infrastructures Mobility Representative;MASCULINO;CASADO;2019-07-02T01:33:35;2019-07-02T05:05:26;synthesizing
